Kännetecken;Kappavärde
['no_of_tokens', 'no_of_sentences', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'average_word_length', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_pronouns', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_participles', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'average_word_length', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'no_of_pronouns', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'no_of_participles', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'average_word_length', 'no_of_pronouns', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'average_word_length', 'no_of_participles', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_pronouns', 'no_of_participles', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'average_word_length', 'no_of_pronouns', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'average_word_length', 'no_of_participles', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'no_of_pronouns', 'no_of_participles', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'no_of_pronouns', 'no_of_adverbs', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'average_word_length', 'no_of_pronouns', 'no_of_participles', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'average_word_length', 'no_of_pronouns', 'no_of_participles', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'average_word_length', 'no_of_pronouns', 'no_of_adverbs', 'no_of_nouns'];0.603306
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'no_of_participles', 'no_of_adjectives', 'no_of_nouns'];0.602210
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'average_word_length', 'no_of_participles', 'no_of_adjectives', 'no_of_nouns'];0.602210
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'no_of_pronouns', 'no_of_participles', 'no_of_adjectives', 'no_of_nouns'];0.602210
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'average_word_length', 'no_of_pronouns', 'no_of_participles', 'no_of_adjectives', 'no_of_nouns'];0.602210
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'no_of_participles', 'no_of_nouns', 'no_of_long_words'];0.545946
['no_of_tokens', 'no_of_sentences', 'no_of_pronouns', 'no_of_participles', 'no_of_nouns', 'no_of_long_words'];0.545946
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'average_word_length', 'no_of_participles', 'no_of_nouns', 'no_of_long_words'];0.545946
['no_of_tokens', 'no_of_sentences', 'no_of_grammatical_err', 'no_of_pronouns', 'no_of_participles', 'no_of_nouns', 'no_of_long_words'];0.545946
